"Product Identifier"|"Product Name"|"Product Price"|"Product Images"|"Product Video"|"Product PDF"|"Product Features"|"Dates of Reviews"
sp12369|"ICON® - Suspension System Lift Kit"|"$979.80 - $10,624.75"|/images/icon-vehicle-dynamics/suspension-systems/k93055.jpg,/images/icon-vehicle-dynamics/suspension-systems/k26001.jpg,/images/icon-vehicle-dynamics/suspension-systems/k212502.jpg,/images/icon-vehicle-dynamics/suspension-systems/k53002.jpg,/images/icon-vehicle-dynamics/suspension-systems/k53052.jpg,/images/icon-vehicle-dynamics/suspension-systems/k53032.jpg,/images/icon-vehicle-dynamics/suspension-systems/k93021.jpg,/images/icon-vehicle-dynamics/suspension-systems/k93102.jpg,/images/icon-vehicle-dynamics/suspension-systems/k53072-2.jpg,/images/icon-vehicle-dynamics/suspension-systems/k22002-2.jpg,/images/icon-vehicle-dynamics/suspension-systems/k93051-2.jpg,/images/icon-vehicle-dynamics/suspension-systems/k93055-7.jpg,/images/icon-vehicle-dynamics/suspension-systems/k93055-6.jpg,/images/icon-vehicle-dynamics/suspension-systems/k93101-2.jpg,/images/icon-vehicle-dynamics/suspension-systems/k22002-3.jpg,/images/icon-vehicle-dynamics/suspension-systems/k93102-2.jpg,/images/icon-vehicle-dynamics/authorized-dealer.jpg|/images/icon-vehicle-dynamics/info/videos/2012-icon-at-lucas-oil-regional-off-road-series_720p.mp4|/images/icon-vehicle-dynamics/info/pdf/catalog.pdf,/images/brands/made-in-usa.pdf|"Increased wheel travel and ride quality over stock with no change in towing capacity[:os:]Vehicle specific tuned shocks for superior shock damping and control[:os:]Precision engineered for your vehicle[:os:]Tested to outperform all comparable products on the market[:os:]Made from premium materials to endure years of abuse[:os:]Improves your vehicle's handling[:os:]Designed for perfect fit and function[:os:]Proudly made in United States"|04-20-2017,06-21-2015,08-08-2014
sp3759|"KSport® - Kontrol Pro™ Coilover Kit"|"$783.00 - $2,700.00"|/images/ksport/suspension-systems/kontrol-pro-coilover-kit.jpg,/images/ksport/suspension-systems/kontrol-pro-coilover-kit-2.jpg,/images/ksport/suspension-systems/kontrol-pro-coilover-kit-3.jpg,/images/ksport/suspension-systems/kontrol-pro-coilover-kit-4.jpg,/images/ksport/suspension-systems/kontrol-pro-coilover-kit-5.jpg,/images/ksport/suspension-systems/kontrol-pro-coilover-kit-6.jpg,/images/ksport/authorized-dealer.jpg|/images/ksport/suspension-systems/video/product-feature_720p.mp4|/images/brands/made-in-usa.pdf|empty|10-11-2017,09-30-2017,08-25-2017,06-02-2017,05-18-2017,05-17-2017,05-04-2017,04-29-2017,04-28-2017,04-27-2017,04-22-2017,04-20-2017,04-13-2017,04-01-2017,03-22-2017,03-16-2017,03-11-2017,01-25-2017,01-06-2017,12-25-2016,12-06-2016,11-24-2016,11-22-2016,11-04-2016,09-29-2016,09-24-2016,09-17-2016,09-15-2016,09-11-2016,08-18-2016,08-13-2016,07-09-2016,06-29-2016,05-25-2016,04-27-2016,04-20-2016,04-13-2016,03-25-2016,03-13-2016,02-04-2016,11-21-2015,07-25-2015,05-27-2015,05-10-2015,04-10-2015,04-10-2015,04-09-2015,03-08-2015,02-16-2015,01-31-2015,11-08-2014,10-10-2014,09-20-2014,07-29-2014,04-25-2014,01-07-2014,09-09-2013
sp10472|"Pro Comp® - Suspension Complete Lift Kit"|"$239.99 - $5,903.86"|/images/pro-comp/performance-suspension/k4189b-2.jpg,/images/pro-comp/performance-suspension/k4143bmx.jpg,/images/pro-comp/performance-suspension/k2085b.jpg,/images/pro-comp/performance-suspension/k5067b.jpg,/images/pro-comp/performance-suspension/k5050b.jpg,/images/pro-comp/performance-suspension/k1048bmx.jpg,/images/pro-comp/performance-suspension/k1109b.jpg,/images/pro-comp/performance-suspension/k4051b.jpg,/images/pro-comp/performance-lift-kits/dodge-ram.jpg,/images/pro-comp/performance-lift-kits/ford-f150.jpg,/images/pro-comp/performance-lift-kits/k6005b-3.jpg,/images/pro-comp/performance-lift-kits/toyota-tundra.jpg,/images/pro-comp/performance-lift-kits/chevy-silverado.jpg,/images/pro-comp/performance-lift-kits/dodge-ram-2.jpg,/images/pro-comp/authorized-dealer.jpg,/images/pro-comp/info/pro-comp-promo-rebate.jpg,/images/pro-comp/info/pro-comp-monotube.jpg|/images/pro-comp/info/video/2013-ram-3500-6in-suspension_720p.mp4|/images//pro-comp/info/2016-procomp-catalog.pdf,/images/brands/made-in-usa.pdf,/images/pro-comp/info/pro-comp-1710-300-mail-in-rebate-form.pdf|"Black Series front monotube coilovers and Pro Runner rear monotube shocks were designed and tuned to improve drivability, on road ride quality and handle aggressive off-road terrain with ease[:os:]High strength extended steering knuckles ensure correct alignment, no CV axle bind and minimal toe change[:os:]High clearance one-piece cross-members and compression struts are engineered to last and get through the toughest obstacles[:os:]Rear block and add-a-leaf combination minimizes axle wrap and helps maintain towing capacity"|06-22-2017
sp93384|"RBP® - Suspension Lift Kit System"|"$849.99 - $2,799.99"|/images/rbp/items/rbp-lk325-60fs.jpg,/images/rbp/items/rbp-lk508-40l.jpg,/images/rbp/items/rbp-lk509-402d.jpg,/images/rbp/items/rbp-lk412-35.jpg,/images/rbp/items/rbp-lk411-60.jpg,/images/rbp/items/rbp-lk126-45al.jpg,/images/rbp/items/rbp-lk413-50.jpg,/images/rbp/items/rbp-lk214-60fs-2.jpg,/images/rbp/items/rbp-lk308-60ds-3.jpg,/images/rbp/items/rbp-lk412-35-2.jpg,/images/rbp/authorized-dealer.jpg,/images/rbp/info/rbp-october-banner.jpg|empty|/images/rbp/info/pdf/rbp-catalog.pdf,/images/rbp/info/rbp-exhaust-tip-mail-in-october-2017-rebate-form.pdf|"Custom Design for Each Application[:os:]Raises Vehicle 1"" – 8"" (Depending on Vehicle and Kit)[:os:]Improves Ride[:os:]Easy Installation with Perfect Fit"|empty
sp113542|"Fabtech® - Budget Suspension Lift Kit"|"$618.24 - $2,562.00"|/images/fabtech/performance-lift-kits/k1060.jpg,/images/fabtech/performance-lift-kits/k1055.jpg,/images/fabtech/performance-lift-kits/k2181.jpg,/images/fabtech/performance-lift-kits/k1081.jpg,/images/fabtech/performance-lift-kits/k2181m.jpg,/images/fabtech/authorized-dealer.jpg|/images/fabtech/info/videos/project-power-storm-burnout_720p.mp4|/images/fabtech/info/pdfs/catalog.pdf,/images/brands/made-in-usa.pdf|"Designed to provide a smooth and comfortable ride[:os:]Built to enhance your off-road capabilities[:os:]Made from road-touch materials to survive the test of time[:os:]Perfectly installed for the first time"|empty
sp1607|"Air Lift® - Performance Air Suspension Combo Kit"|"$450.00 - $1,200.00"|/images/air-lift/suspension-systems/95748.jpg,/images/air-lift/suspension-systems/77753.jpg,/images/air-lift/suspension-systems/77752.jpg,/images/air-lift/suspension-systems/77782.jpg,/images/air-lift/suspension-systems/77787.jpg,/images/air-lift/suspension-systems/95751.jpg,/images/air-lift/suspension-systems/95786.jpg,/images/air-lift/authorized-dealer.jpg|/images/air-lift/suspension-systems/video/mustang-motorstate-challenge-2011_720p.mp4|/images/air-lift/info/air-lift-catalog.pdf,/images/brands/made-in-usa.pdf|"Air bag spring supports are available for factory coil springs and leaf spring designs[:os:]Air compressors are available in standard strength for intermittent weekend use or heavy-duty strength for regular daily use[:os:]Air path configurations are available to raise left and right springs together equally, or individually[:os:]Digital systems offer a wireless remote, automatic leveling, and self-diagnostics[:os:]Analog systems feature dial gauges with manual pushbutton adjustment[:os:]1,000 pound capacity air springs are available for lighter vehicles with coil springs[:os:]2,000- and 5,000-pound capacity air springs are available for ¾-ton and 1-ton pickups with leaf springs[:os:]Air spring supports prevent vehicle's main springs from sagging due to constant load compression[:os:]Maintains level ride height[:os:]Helps reduce bouncing at the rear of vehicle when towing[:os:]Manufactured in the United States"|09-28-2017
sp33232|"McGaughy's® - Basic Lift Kit"|"$949.00 - $5,257.24"|/images/mcgaughys/items/54327.jpg,/images/mcgaughys/items/50764.jpg,/images/mcgaughys/items/50761.jpg,/images/mcgaughys/items/50761-3.jpg,/images/mcgaughys/items/50761-4.jpg,/images/mcgaughys/items/50764-5.jpg,/images/mcgaughys/performance-lift-kits/52305-2.jpg,/images/mcgaughys/authorized-dealer.jpg|empty|/images/mcgaughys/items/pdf/mcgaughys-product-catalog.pdf,/images/brands/made-in-usa.pdf|"High quality at an affordable price[:os:]Expertly made from premium materials[:os:]Built to match your exact requirements"|empty
sp113559|"Fabtech® - Performance Suspension Lift Kit"|"$559.60 - $4,345.14"|/images/fabtech/performance-lift-kits/k1015.jpg,/images/fabtech/performance-lift-kits/k3007.jpg,/images/fabtech/performance-lift-kits/k3037m.jpg,/images/fabtech/performance-lift-kits/k2095.jpg,/images/fabtech/authorized-dealer.jpg|/images/fabtech/info/videos/project-power-storm-burnout_720p.mp4|/images/fabtech/info/pdfs/catalog.pdf,/images/brands/made-in-usa.pdf|"Designed to provide a smooth and comfortable ride[:os:]Built to enhance your off-road capabilities[:os:]Made from road-touch materials to survive the test of time[:os:]Perfectly installed for the first time"|empty
sp2077|"Arnott® - Air to Coil Spring Conversion Kit"|"$152.15 - $1,735.69"|/images/arnott/suspension-systems/c-2278.jpg,/images/arnott/suspension-systems/c-2278-2.jpg,/images/arnott/suspension-systems/c-2721.jpg,/images/arnott/suspension-systems/c-2278-3.jpg,/images/arnott/suspension-systems/c-2145.jpg,/images/arnott/suspension-systems/c-2529-2.jpg,/images/arnott/suspension-systems/c-2518-2.jpg,/images/arnott/suspension-systems/c-2278-4.jpg,/images/arnott/authorized-dealer.jpg|empty|/images/arnott/info/pdf/catalog.pdf,/images/brands/made-in-usa.pdf|"Set coil springs and shock absorbers designed to bolt directly in place of existing air springs with no modifications necessary to your vehicle[:os:]Eliminate worry of failing air suspension parts which can leave you stranded with extremely costly repair bills[:os:]Black powder coat provides durable finish that is resistant to chips, corrosion, and paint flaking[:os:]Coil springs feature a variable spring rate that provides a softer, more comfortable ride that progresses to a firmer ride during aggressive driving or when vehicle load increases[:os:]Kit also includes a pair of OE equivalent replacement shocks[:os:]Depending on vehicle application, new rubber spring pads may be included for superior vibration dampening[:os:]Conversion kit does not come with any provisions to bypass and disable suspension warning lights once original equipment is removed[:os:]Manufactured in the United States[:os:]Arnott offers a limited lifetime warranty for all products"|03-24-2017,01-01-2017,12-03-2016,09-01-2016,06-22-2016,06-15-2016,05-01-2016,04-23-2016,03-07-2016,02-03-2016,12-12-2015,11-30-2015,11-21-2015,11-20-2015,07-09-2015,06-03-2015,06-03-2015,05-02-2015,02-17-2015,02-16-2015,01-14-2015,01-05-2015,12-10-2014,08-08-2013,03-20-2013
sp21205|"Skyjacker® - LeDuc Series Coilover Lift Kit"|"$1,900.76 - $5,618.71"|/images/skyjacker/performance-lift-kits/tu762lskm.jpg,/images/skyjacker/performance-lift-kits/c14662alskm.jpg,/images/skyjacker/performance-lift-kits/c7662lskm.jpg,/images/skyjacker/performance-lift-kits/f1562lskm.jpg,/images/skyjacker/performance-lift-kits/f962lskm.jpg,/images/skyjacker/performance-lift-kits/tu762lskm-2.jpg,/images/skyjacker/performance-lift-kits/f962lskm-2.jpg,/images/skyjacker/performance-lift-kits/c7662lskm-2.jpg,/images/skyjacker/authorized-dealer.jpg|/images/skyjacker/suspension-systems/video/product-line_480p.mp4|/images/skyjacker/info/2014-2015-catalog.pdf,/images/brands/made-in-usa.pdf|"Precision engineered for your vehicle[:os:]Tested to outperform all comparable products on the market[:os:]Made from premium materials to endure years of abuse[:os:]Improves your vehicle's handling[:os:]Designed for perfect fit and function"|empty
sp20035|"Air Lift® - LoadLifter5000 Ultimate™ Rear Air Spring Kit"|"$369.34 - $537.51"|/images/air-lift/suspension-systems/88398.jpg,/images/air-lift/suspension-systems/88200.jpg,/images/air-lift/suspension-systems/88204.jpg,/images/air-lift/suspension-systems/88349.jpg,/images/air-lift/suspension-systems/88129.jpg,/images/air-lift/suspension-systems/88203.jpg,/images/air-lift/suspension-systems/loadlifter5000-air-springs.jpg,/images/air-lift/suspension-systems/88229-2.jpg,/images/air-lift/suspension-systems/88213.jpg,/images/air-lift/authorized-dealer.jpg|/images/air-lift/suspension-systems/video/engineering-air-suspension_480p.mp4|/images/air-lift/info/air-lift-catalog.pdf,/images/brands/made-in-usa.pdf|"Set of Two replacement air bag springs support designed to work with factory OEM leaf springs[:os:]Both helper air springs add up to 5,000 pounds of leveling capacity per axle[:os:]Designed for heavier duty applications such as mobile homes, 1-ton pickup trucks, and commercial fleet vehicles[:os:]Prevents vehicle’s main springs from sagging due to constant load compression[:os:]Maintains proper ride height[:os:]Helps reduce bouncing at the rear of vehicle when towing[:os:]Kit includes 2 air springs, brackets, air lines, quick-disconnect valves, and all related hardware needed for installation[:os:]Air springs can be adjusted between 5 – 100 psi manually[:os:]Eliminates harsh jarring on rough roads[:os:]Maintenance-free! Safely run with zero air pressure[:os:]Replaces factory jounce bumper[:os:]All necessary mounting brackets[:os:]All of the hardware needed for installation[:os:]A fully illustrated instruction manual[:os:]Air lines[:os:]Schrader valve[:os:]Provides three-stage ride comfort[:os:]Limited lifetime manufacturer warranty[:os:]Manufactured in the United States"|empty
sp21171|"ARB® - OME™ Lift Kit"|"$12.35 - $3,696.14"|/images/arb/suspension-systems/old-man-emu-lift-kit.jpg,/images/arb/authorized-dealer.jpg|/images/arb/video/arb-ford-ranger-px-mkii_1080p.mp4|/images/arb/pdf/arb-catalog.pdf|"Engineered for both on road and off road drivability[:os:]Durability proven under extensive laboratory and real life testing, supported by scientific data logging[:os:]Instantaneously adapts to the terrain[:os:]The most finely tuned shock absorber on the market, with all valving work carried out in Australia by OME’s ride control engineers[:os:]Dramatically improved low and high speed control for increased comfort and control over all road surfaces[:os:]Made in Australia"|10-23-2014
sp3760|"KSport® - GT™ Lowering Spring Kit"|"$139.00 - $156.00"|/images/ksport/suspension-systems/lshd23-2.jpg,/images/ksport/suspension-systems/lsvw06-2.jpg,/images/ksport/suspension-systems/lsvw06-3.jpg,/images/ksport/suspension-systems/lshd23-4.jpg,/images/ksport/suspension-systems/lowering-kit.jpg,/images/ksport/authorized-dealer.jpg|/images/ksport/suspension-systems/video/product-feature_720p.mp4|/images/brands/made-in-usa.pdf|"Set of 4 replacement coil springs designed to provide noticeable ride height drop on your vehicle[:os:]Progressive spring rate retains civilized ride comfort during everyday driving conditions[:os:]Tighter winding rate near the bottom of the spring provide more resistance to body roll under pressure[:os:]Effectively lowers vehicle center of gravity[:os:]Reduces side-to-side lean, nose dive, and squat under aggressive driving[:os:]Crafted from high tensile chrome silicon wire for superior strength and resilience[:os:]Chrome silicon effectively handles heavier and more repetitive compressions without deforming or sagging[:os:]Powder coat finish effectively resists corrosion, chips, and scratches[:os:]1-year manufacturer warranty"|09-09-2015,04-24-2014,03-22-2014,03-08-2014,10-11-2013
sp10503|"Pro Comp® - Nitro Lift Kit"|"$249.99 - $699.99"|/images/pro-comp/performance-suspension/66150k.jpg,/images/pro-comp/performance-suspension/63155k.jpg,/images/pro-comp/performance-suspension/63215k.jpg,/images/pro-comp/performance-suspension/62687k.jpg,/images/pro-comp/performance-suspension/62220k.jpg,/images/pro-comp/performance-suspension/63161k.jpg,/images/pro-comp/performance-suspension/65225k.jpg,/images/pro-comp/performance-suspension/65660k.jpg,/images/pro-comp/performance-lift-kits/toyota-tacoma.jpg,/images/pro-comp/performance-lift-kits/dodge-ram.jpg,/images/pro-comp/performance-lift-kits/chevy-silverado.jpg,/images/pro-comp/performance-lift-kits/jeep-wrangler.jpg,/images/pro-comp/performance-lift-kits/toyota-tundra.jpg,/images/pro-comp/performance-lift-kits/chevy-silverado-2.jpg,/images/pro-comp/performance-lift-kits/toyota-tundra-2.jpg,/images/pro-comp/performance-lift-kits/jeep-wrangler-17.jpg,/images/pro-comp/authorized-dealer.jpg,/images/pro-comp/info/pro-comp-promo-rebate.jpg,/images/pro-comp/info/pro-comp-monotube.jpg|/images/pro-comp/info/video/promo-video_720p.mp4|/images//pro-comp/info/2016-procomp-catalog.pdf,/images/brands/made-in-usa.pdf,/images/pro-comp/info/pro-comp-1710-300-mail-in-rebate-form.pdf|"Precision engineered[:os:]Application-specific designs[:os:]Heavy-duty blocks and hardware[:os:]Installs on factory strut assembly[:os:]Raises the rear of truck for towing and heavy loads[:os:]Increased clearance for larger tire and wheel combinations[:os:]Gives truck aggressive stance[:os:]Durable E-coat finish on U-bolts with Zinc plated nuts[:os:]Easy installation[:os:]Easily returned to stock[:os:]Pro Comp Promise Lifetime Warranty[:os:]Proudly made in United States"|04-01-2016
sp92178|"McGaughy's® - Economy Lift Kit"|$1,220.00|/images/mcgaughys/performance-lift-kits/50703-57171.jpg,/images/mcgaughys/authorized-dealer.jpg|empty|/images/mcgaughys/items/pdf/mcgaughys-product-catalog.pdf,/images/brands/made-in-usa.pdf|"High quality at an affordable price[:os:]Expertly made from premium materials[:os:]Built to match your exact requirements"|09-06-2017
sp7978|"Suncore® - Coil Spring Conversion Kit"|"$37.12 - $1,590.40"|/images/suncore/performance-suspension-system/148g-30-assy.jpg,/images/suncore/performance-suspension-system/148g-30-r-kit.jpg,/images/suncore/performance-suspension-system/151g-13-4-assy.jpg,/images/suncore/performance-suspension-system/299a-31-4.jpg,/images/suncore/authorized-dealer.jpg|empty|/images/suncore/info/pdf/catalog.pdf|"Easy to install[:os:]Installation instructions included[:os:]Saves you money compared to OEM/Dealer prices[:os:]Assembled in the USA[:os:]Limited 1 year warranty"|10-12-2017,10-11-2017,10-10-2017,08-12-2017,06-11-2017,05-31-2017,04-03-2017,04-01-2017,03-05-2017,12-17-2016,11-12-2016,10-29-2016,10-02-2016,06-05-2016,04-19-2016,03-18-2016,01-28-2016,08-01-2015
sp1050|"Hotchkis® - TVS Lowering Kit"|"$542.15 - $4,762.46"|/images/hotchkis/suspension-systems/80001.jpg,/images/hotchkis/suspension-systems/80024.jpg,/images/hotchkis/suspension-systems/80035.jpg,/images/hotchkis/suspension-systems/80111-1rs.jpg,/images/hotchkis/suspension-systems/80117.jpg,/images/hotchkis/suspension-systems/80118-2.jpg,/images/hotchkis/suspension-systems/80304.jpg,/images/hotchkis/suspension-systems/80413-1.jpg,/images/hotchkis/suspension-systems/80445-1.jpg,/images/hotchkis/suspension-systems/89001-2.jpg,/images/hotchkis/suspension-systems/89002.jpg,/images/hotchkis/hotchkis-authorized-dealer.jpg|/images/hotchkis/suspension-systems/video/hotchkis-overview-video_480p.mp4|/images/hotchkis/info/catalog.pdf,/images/brands/made-in-usa.pdf|"Complete kit that provides all components necessary for reduced body roll, sharpened steering response, and enhanced handling[:os:]Provides valuable gains in high-speed stability, cornering, and driver control[:os:]Specifically designed and tuned to provide your make and model’s suspension with optimal performance at lowered ride heights[:os:]Stiffer-than-OEM spring rate reduces body roll, nose dive, and rear squat for improved handling[:os:]Greasable polyurethane bushings resist deterioration, cracking, and drying out under extreme use[:os:]All steel components are joined together by TIG welding which provides the cleanest, most even bonds for high strength[:os:]Durable powder coat finish on all steel components provides effective protection against corrosion, chips, and scratches[:os:]Excellent enhancement when upsized wheels and low-profile tires are fitted to your vehicle[:os:]3-year manufacturer warranty[:os:]Manufactured in the United States"|08-11-2016,04-26-2016,04-16-2016,02-24-2016
sp22382|"Tuff Country® - Standard Lift Kit"|"$112.69 - $2,275.65"|/images/tuff-country/performance-suspension-parts/12030kh.jpg,/images/tuff-country/performance-suspension-parts/12030.jpg,/images/tuff-country/performance-suspension-parts/12020kn.jpg,/images/tuff-country/performance-suspension-parts/12020.jpg,/images/tuff-country/performance-suspension-parts/12034.jpg,/images/tuff-country/performance-suspension-parts/12034kh.jpg,/images/tuff-country/authorized-dealer.jpg|empty|/images/tuff-country/info/pdf/catalog.pdf,/images/brands/made-in-usa.pdf|"Provide better ride quality[:os:]Simple bolt-on installation[:os:]Custom fit for each application[:os:]Proudly Made in USA"|06-01-2016,05-13-2016
sp8814|"Superlift® - Master™ Lift Kit"|"$266.45 - $2,254.95"|/images/superlift/suspension/k901b.jpg,/images/superlift/suspension/k873b.jpg,/images/superlift/suspension/k868.jpg,/images/superlift/suspension/k860b.jpg,/images/superlift/suspension/k664.jpg,/images/superlift/suspension/k928b.jpg,/images/superlift/suspension/k931.jpg,/images/superlift/suspension/k973.jpg,/images/superlift/suspension/k722.jpg,/images/superlift/suspension/k716.jpg,/images/superlift/suspension/k709.jpg,/images/superlift/authorized-dealer.jpg|empty|/images/brands/made-in-usa.pdf|"Precision engineered for your vehicle[:os:]Tested to outperform all comparable products on the market[:os:]Made from premium materials to endure years of abuse[:os:]Improves your vehicle's handling[:os:]Designed for perfect fit and function[:os:]Proudly made in United States"|empty
sp33406|"McGaughy's® - Phase Lift Kit"|"$1,219.80 - $3,100.02"|/images/mcgaughys/items/57283.jpg,/images/mcgaughys/items/57281.jpg,/images/mcgaughys/items/57262.jpg,/images/mcgaughys/items/57281-3.jpg,/images/mcgaughys/items/57263-4.jpg,/images/mcgaughys/items/57262-3.jpg,/images/mcgaughys/items/57262-4.jpg,/images/mcgaughys/items/57262-5.jpg,/images/mcgaughys/items/57283-2.jpg,/images/mcgaughys/authorized-dealer.jpg|empty|/images/mcgaughys/items/pdf/mcgaughys-product-catalog.pdf,/images/brands/made-in-usa.pdf|"High quality at an affordable price[:os:]Expertly made from premium materials[:os:]Built to match your exact requirements"|empty
sp106528|"Rancho® -  QuickLIFT™ 7000MT Level It Kit"|"$250.00 - $279.99"|/images/rancho/suspension-systems/rs66303r7.jpg,/images/rancho/info/images/quicklift-7000mt-level-it-kit-info.jpg,/images/rancho/authorized-dealer.jpg|empty|/images/rancho/info/catalog.pdf,/images/brands/made-in-usa.pdf|"Levels front suspension: Removes the factory rake[:os:]1.97-in. (50mm) Body Diameter: Delivers both performance and appearance[:os:]Monotube design with high pressure nitrogen gas charge: Quicker damping response time[:os:]Off-road Fluon banded piston: Provides a consistent seal between piston and pressure tube[:os:]Brushed & Zinc plated with clear coated finish: Premium long lasting finish[:os:]Ten-stage velocity sensitive valving: Provides tuning specific for each vehicle[:os:]46mm bore monotube construction: Ideal for larger light trucks, SUVs and more[:os:]14mm Hardened steel rod: Adds strength and durability[:os:]Black natural rubber bushings: Enhance durability and reduced road harshness[:os:]Protective boot included: Added protection for the shock rod and oil seal[:os:]Limited Lifetime Warranty and 90-Day Free-Ride Offer: Consumer protection"|empty
sp113545|"Fabtech® - Coil Spacer Suspension Lift Kit"|"$385.84 - $1,300.94"|/images/fabtech/performance-lift-kits/k3056m.jpg,/images/fabtech/performance-lift-kits/k3060.jpg,/images/fabtech/authorized-dealer.jpg|/images/fabtech/info/videos/project-power-storm-burnout_720p.mp4|/images/fabtech/info/pdfs/catalog.pdf,/images/brands/made-in-usa.pdf|"Designed to provide a smooth and comfortable ride[:os:]Built to enhance your off-road capabilities[:os:]Made from road-touch materials to survive the test of time[:os:]Perfectly installed for the first time"|empty
sp20046|"Fox® - 2.0 Performance Series IFP Coil-Over Shock Absorber"|"$429.95 - $449.95"|/images/fox/items/coil-over-shock20-performance-series-if.jpg,/images/fox/info/images/ifp.jpg,/images/fox/fox_authorized3.jpg|/images/fox/info/videos/presents-the-sunday-drive_720p.mp4|/images/fox/items/pdf/off-road-catalog.pdf|"2.0"" Metal impacted 6061-T6 aluminum will resist rust over time[:os:]Clear-anodized for a durable finish[:os:]Internal IFP mono-tube reservoir design separates shock oil from the high-pressure nitrogen[:os:]Black-anodized, CNC-machined 6061-T6 billet aluminum components[:os:]5/8"" hard chrome plated heat-treated alloy steel shaft[:os:]Race-developed high-flow piston design[:os:]Application specific valving to maximize performance[:os:]Redundant sealing pack system main seal, wiper seal, scraper seal[:os:]JM92 Advanced Suspension Fluid for improved performance at variable temperatures[:os:]Large diameter, heavy-duty spherical bearing[:os:]Direct replacement for stock and aftermarket lifts kits mounting"|11-18-2016
sp9047|"Eibach® - Sportline Coil Spring Lowering Kit"|"$209.79 - $288.36"|/images/eibach/suspension-systems/4-1063.jpg,/images/eibach/eibach-authorized-dealer.jpg|/images/eibach/info/video/performance-that-matters_720p.mp4|/images/eibach/info/catalog.pdf,/images/brands/made-in-usa.pdf|"“Sport” series signifies a more extreme level of ride height drop vs. “Pro” series kits which feature a moderate level of drop[:os:]Designed for the enthusiast who prefers a civilized boost of their vehicle’s street handling abilities with the looks of a lower ride height[:os:]Sport series springs, bump stops, and shock absorbers are available as kits or separately[:os:]The Plus kit adds a set of solid anti-roll bars and link rods to enhance the capabilities of the springs and shocks[:os:]For vehicles with front torsion bars, choose the Sport Utility Front Lowering Kit with two replacement front torsion keys that lower ride height up to 3 inches[:os:]Springs are progressive to maintain ride comfort during normal driving[:os:]Wheel alignment required after installation[:os:]Reduces body roll for more stable handling and faster cornering speeds[:os:]Reduces rear end squat during acceleration to boost drive wheel grip for faster launches[:os:]Reduces nose dive during braking to create shorter stopping distances[:os:]Manufacturer warrants the springs and sway bars for 1 million miles, shock absorbers for 2 years[:os:]Proudly manufactured in the United States"|02-15-2017,07-24-2016
sp4274|"Bilstein® - 5160 Series Shock Absorbers"|"$188.69 - $211.24"|/images/bilstein/suspension-systems/25-197754.jpg,/images/bilstein/suspension-systems/25-176407.jpg,/images/bilstein/suspension-systems/25-177435.jpg,/images/bilstein/authorized-dealer.jpg|/images/bilstein/suspension-systems/video/5160-series-reservoir-shock-absorber_480p.mp4|/images/bilstein/info/pdf/5160-series-shocks-info.pdf,/images/bilstein/suspension-systems/pdf/shock-absorber-important.pdf,/images/bilstein/suspension-systems/pdf/how-to-measure-a-shock-product-information.pdf|"Bilstein's industry leading monotube design[:os:]Zinc finish with multi-layer unique Bilstein coating for extreme protection[:os:]Remote reservoir dramatically increases shock oil capacity for even greater heat dissipation and damping sensitivity[:os:]Special swivel banjo fittings allow for 360° of rotation[:os:]Vehicle specific reservoir mount kit included"|08-18-2015,02-03-2015,02-03-2015,01-07-2015,01-07-2015,10-31-2014
